# Custom pronunciation overrides (win over the NST lexicon). TAB-separated:
#   word<TAB>space-separated IPA tokens (from the voice's phoneme inventory)
# Use for brand/place/personal names and register choices NST transcribes formally.

# brand persona
candytron	k ˈ a n d i t r ɔ n

# (robot/robotar/roboten/godisrobot: no override — NST's open-o "robb-ot"
#  rˈɔbɔt / rˈɔbɔtar is consistent across singular, plural, and the godis- compound.)

# Greeting compounds: NST stores the stiff citation form with a full hard "god"
# (ɡuːd). Natural speech reduces god -> go (ɡʊ, no d) before natt/morgon/dag/kväll.
godnatt	ɡ ʊ n ˈ a t
godnattsaga	ɡ ʊ n ˈ a t ˌ s ɑ ː ɡ a
godmorgon	ɡ ʊ m ˈ ɔ r ɔ n
goddag	ɡ ʊ d ˈ ɑ ː
godkväll	ɡ ʊ k v ˈ ɛ l

# Roman-numeral contamination in the NST lexicon: these map to NUMBER words
# (vi=VI=6=sex, v=5=fem, c=100=hundra, l=50=femtio, m=1000=tusen, iv=4=fyra).
# Override with the correct Swedish word / letter-name pronunciations.
vi	v ˈ i ː
v	v ˈ e ː
c	s ˈ e ː
l	ˈ ɛ l
m	ˈ ɛ m
iv	ˈ i ː v ˌ e ː
# Reachy: robot name, pronounced English "REE-chee" /ˈriːtʃi/ (not Swedish rˈɛjʂy)
reachy	r ˈ i ː ʧ i
# Tech terms / acronyms (2026-07-08): spell-outs + English brand pronunciations
mqtt	ˌ ɛ m ˌ k ɨ ː ˌ t e ː ˈ t e ː
rise	r ˈ a j s
usb	ˌ ɨ ː ˌ ɛ s ˈ b e ː
gpu	ˌ ɡ e ː ˌ p e ː ˈ ɨ ː
iot	ˌ i ː ˌ u ː ˈ t e ː
contiki	k ɔ n t ˈ i ː k i
ng	ˌ ɛ n ˈ ɡ e ː
zephyr	s ˈ e ː f y r
riot	r ˈ a j ɔ t

# AI/ML terms (2026-07-08): spell-out acronyms + English brand words
yolo	j ˈ o ː l o
llm	ˌ ɛ l ˌ ɛ l ˈ ɛ m
ml	ˌ ɛ m ˈ ɛ l
gpt	ˌ ɡ e ː ˌ p e ː ˈ t e ː
tts	ˌ t e ː ˌ t e ː ˈ ɛ s
asr	ˌ ɑ ː ˌ ɛ s ˈ ɛ r
api	ˌ ɑ ː ˌ p e ː ˈ i ː
cnn	ˌ s e ː ˌ ɛ n ˈ ɛ n
onnx	ˈ ɔ n ɪ k s
ros	r ˈ ɔ s
cuda	k ˈ u ː d a
pytorch	p ˈ a j t ˌ ɔ r ʧ
